area,price,new/resale,price_negotiable,security_deposit,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,builder_experience,Rain Water Harvesting,Intercom,Car Parking,price_per_sqft,amenities_score,location_Ambegaon Budruk,location_Aundh,location_Balewadi,location_Baner,location_Bavdhan,location_Bhegade Aali,location_Bhugaon,location_Bhukum,location_Bibwewadi Kondhwa Road,location_Deccan Gymkhana,location_Dhanori,location_Erandwane,location_Fursungi,location_Gahunje,location_Guruwar Peth,location_Hadapsar,location_Hinjawadi Village,location_Hinjewadi,location_Kalewadi,location_Karve Nagar,location_Keshav Nagar,location_Kharadi,location_Kondhwa,location_Kothrud,location_Lohegaon,location_MAE Campus,location_Maan,location_Mohammed wadi,location_Moshi,location_Mundhwa,location_NIBM Annex Mohammadwadi,location_Narhe,location_Old Sangvi,location_Pan Card Club Road,location_Pashan,location_Pimple Gurav,location_Pimple Saudagar,location_Punawale,location_Shewalewadi,location_Shivaji Nagar,location_Tathawade,location_Undri,location_Viman Nagar,location_Vishrantwadi,location_Wadgaon Sheri,location_Wagholi,location_Wakad,location_Warje,facing_east,facing_north,facing_northeast,facing_south,facing_southeast,facing_west
1717,9800000,0,0,1,0,14,1,1,1,1,1,1,1,1,1,0,8.8,23.0,1.0,1.0,1.0,5707.62958648806,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2941,25000000,0,0,1,1,9,1,1,1,1,1,1,1,1,1,0,8.9,52.0,1.0,1.0,1.0,8500.510030601836,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2850,70000000,1,0,1,0,8,1,1,0,1,1,1,1,0,0,0,9.2,47.0,1.0,1.0,0.0,24561.40350877193,8.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2100,19000000,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,8.6,20.0,0.0,1.0,0.0,9047.619047619048,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
5600,55000000,0,0,1,1,0,1,1,0,1,1,1,0,0,0,0,9.1,89.5,0.0,1.0,0.0,9821.42857142857,6.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1180,7900000,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,8.8,89.5,0.0,1.0,0.0,6694.9152542372885,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
600,2700000,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,8.0,89.5,0.0,0.0,0.0,4500.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
520,5100000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,9.1,89.5,0.0,0.0,0.0,9807.692307692309,1.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2700,24900000,0,0,1,1,11,1,1,0,1,1,1,1,1,0,0,8.1,33.0,0.0,1.0,0.0,9222.222222222223,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2733,20000000,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,8.1,123.0,1.0,1.0,1.0,7317.965605561654,12.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
7880,120000000,0,0,1,0,7,1,1,1,1,1,1,1,1,0,0,9.7,17.0,0.0,1.0,1.0,15228.426395939086,10.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
988,3439000,1,0,1,0,2,1,1,1,1,1,1,1,1,1,1,7.4,39.0,1.0,1.0,1.0,3480.769230769231,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2361,26437940,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,8.8,123.0,1.0,1.0,1.0,11197.772130453197,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
3200,36000000,1,0,1,0,122,1,1,0,1,1,1,1,1,0,0,9.1,89.5,0.0,1.0,0.0,11250.0,8.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1645,12400000,0,0,1,0,5,1,1,0,1,1,1,1,1,0,0,8.8,89.5,0.0,1.0,0.0,7537.993920972644,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
4800,30000000,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,8.8,89.5,0.0,1.0,0.0,6250.0,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
600,1900000,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,8.1,89.5,0.0,0.0,0.0,3166.6666666666665,3.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1200,8300000,1,0,1,0,8,1,1,1,1,1,1,1,1,0,0,9.2,123.0,1.0,1.0,1.0,6916.666666666667,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
3712,33363112,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,8.9,39.0,0.0,1.0,1.0,8987.907327586207,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
810,5600000,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,8.8,123.0,1.0,1.0,1.0,6913.580246913581,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
4200,17500000,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,8.1,26.0,0.0,1.0,1.0,4166.666666666667,11.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1067,5345000,0,0,1,0,12,1,1,1,1,1,1,1,1,1,0,9.4,19.0,1.0,1.0,1.0,5009.372071227741,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2500,38500000,0,0,1,1,7,1,1,1,1,1,1,1,1,1,0,9.2,56.0,1.0,1.0,1.0,15400.0,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
594,2570000,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,8.6,89.5,0.0,0.0,0.0,4326.599326599327,2.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
910,7050000,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,9.2,123.0,0.0,1.0,1.0,7747.252747252747,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
2236,11200000,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,9.4,89.5,0.0,1.0,0.0,5008.944543828265,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
3500,47500000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.1,2022.0,0.0,0.0,0.0,13571.42857142857,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1100,5345000,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,8.8,123.0,0.0,1.0,1.0,4859.090909090909,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
850,8500000,0,0,1,0,8,1,1,1,0,1,1,1,0,1,0,9.1,24.0,1.0,0.0,1.0,10000.0,9.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3000,32500000,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,9.4,23.0,1.0,1.0,1.0,10833.333333333334,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
2270,17840260,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,8.8,123.0,1.0,1.0,1.0,7859.145374449339,13.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1293,8400000,0,0,1,0,5,1,1,0,1,1,1,1,1,0,0,8.8,89.5,0.0,1.0,0.0,6496.519721577726,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
3700,21500000,0,0,1,1,11,1,1,1,1,1,1,1,1,1,0,8.8,27.0,0.0,1.0,1.0,5810.810810810811,11.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
860,4296000,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,7.9,23.0,0.0,1.0,0.0,4995.3488372093025,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
617,3100000,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,8.0,22.0,1.0,1.0,1.0,5024.311183144247,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
650,2363000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.6,89.5,0.0,0.0,0.0,3635.3846153846152,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2700,32500000,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,9.1,53.0,1.0,1.0,1.0,12037.037037037036,13.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
520,3900000,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,8.9,34.0,1.0,1.0,1.0,7500.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
910,5800000,1,0,1,0,2,1,1,0,1,1,1,1,0,0,0,8.0,123.0,1.0,1.0,1.0,6373.626373626374,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
850,4500000,1,0,1,0,0,1,1,0,1,1,1,1,1,0,0,8.0,89.5,0.0,0.0,0.0,5294.117647058823,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2236,14200000,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,9.1,89.5,0.0,1.0,0.0,6350.6261180679785,7.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
980,7500000,0,0,1,0,11,1,1,1,0,1,1,1,0,1,0,9.1,22.0,1.0,0.0,1.0,7653.061224489796,9.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
950,4500000,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,8.8,89.5,0.0,1.0,0.0,4736.8421052631575,5.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1021,5214000,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,9.4,123.0,1.0,1.0,1.0,5106.758080313418,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
940,5500000,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,8.2,123.0,0.0,1.0,0.0,5851.063829787234,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
1650,35000000,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,9.1,24.0,1.0,0.0,1.0,21212.121212121212,10.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3000,32000000,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,8.8,89.5,0.0,1.0,0.0,10666.666666666666,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
1950,8600000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,89.5,0.0,0.0,0.0,4410.25641025641,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1060,6450000,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8.9,123.0,0.0,0.0,0.0,6084.905660377359,1.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
461,5100000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.1,89.5,0.0,0.0,0.0,11062.906724511931,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
770,7000000,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,9.4,123.0,1.0,0.0,1.0,9090.90909090909,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1276,8300000,0,0,1,0,5,1,1,0,1,1,1,1,1,0,0,8.8,89.5,0.0,1.0,0.0,6504.702194357366,8.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
700,3100000,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,8.0,89.5,0.0,0.0,0.0,4428.571428571428,4.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
600,1300000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.1,89.5,0.0,0.0,0.0,2166.6666666666665,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1200,7200000,0,0,1,0,4,1,1,1,1,1,1,1,1,1,1,8.2,20.0,1.0,1.0,1.0,6000.0,13.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
825,8000000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.1,2022.0,0.0,0.0,0.0,9696.969696969696,0.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2368,12600000,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,8.8,89.5,0.0,1.0,0.0,5320.945945945946,8.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
950,5500000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,89.5,0.0,0.0,0.0,5789.473684210527,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
573,2760000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.3,89.5,0.0,0.0,0.0,4816.753926701571,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
800,4834300,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,8.0,123.0,0.0,1.0,0.0,6042.875,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
496,10700000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8.8,89.5,0.0,0.0,0.0,21572.58064516129,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
